,subject,Trial,key_press,accuracy,rt,trial_type,arrL,arrR,ValL,ValR,Age,Gender,FullColorVision,compensation,rainbow,nValL,nValR,skew
130,0mkkxzz3w,101,70,1,2941.29999995232,Experiment,7 4 3 8 5 3,8 1 5 7 2 2,30,25,35,Male,Yes,11.07,Pink to Blue,5,5,0.11150198809860125
131,0mkkxzz3w,102,70,0,1629.09999990463,Experiment,6 10 4 7 8 6,4 8 4 10 7 9,41,42,35,Male,Yes,11.07,Pink to Blue,5,5,0.11150198809860125
132,0mkkxzz3w,103,74,1,5709.10000002384,Experiment,1 6 2 8 8 6,8 1 7 4 8 4,31,32,35,Male,Yes,11.07,Pink to Blue,4,4,0.11150198809860125
133,0mkkxzz3w,104,70,1,1994.5,Experiment,8 8 10 9 7 11,11 6 9 7 11 8,53,52,35,Male,Yes,11.07,Pink to Blue,5,5,0.11150198809860125
134,0mkkxzz3w,105,74,0,1275.60000002384,Experiment,12 10 12 5 5 11,8 7 11 11 8 6,55,51,35,Male,Yes,11.07,Pink to Blue,4,4,0.11150198809860125
135,0mkkxzz3w,106,70,1,2052.0,Experiment,6 12 9 12 12 8,9 11 11 9 6 7,59,53,35,Male,Yes,11.07,Pink to Blue,4,4,0.11150198809860125
136,0mkkxzz3w,107,70,1,5351.20000004768,Experiment,6 6 10 3 9 10,10 10 8 8 3 4,44,43,35,Male,Yes,11.07,Pink to Blue,4,4,0.11150198809860125
137,0mkkxzz3w,108,74,1,4402.89999997616,Experiment,6 6 4 9 7 5,4 5 5 9 10 6,37,39,35,Male,Yes,11.07,Pink to Blue,5,5,0.11150198809860125
138,0mkkxzz3w,109,70,1,1781.89999997616,Experiment,5 8 11 12 12 8,10 6 10 12 12 5,56,55,35,Male,Yes,11.07,Pink to Blue,4,4,0.11150198809860125
139,0mkkxzz3w,110,70,1,3756.89999997616,Experiment,6 2 3 8 8 3,2 8 8 4 1 1,30,24,35,Male,Yes,11.07,Pink to Blue,4,4,0.11150198809860125
140,0mkkxzz3w,111,70,0,2428.79999995232,Experiment,10 8 8 11 6 9,11 6 11 7 10 12,52,57,35,Male,Yes,11.07,Pink to Blue,5,5,0.11150198809860125
141,0mkkxzz3w,112,74,1,2348.29999995232,Experiment,8 6 6 3 3 2,7 6 3 3 6 8,28,33,35,Male,Yes,11.07,Pink to Blue,4,4,0.11150198809860125
142,0mkkxzz3w,113,70,1,2708.39999997616,Experiment,3 7 6 7 3 4,8 1 8 4 1 3,30,25,35,Male,Yes,11.07,Pink to Blue,4,4,0.11150198809860125
143,0mkkxzz3w,114,74,1,1292.89999997616,Experiment,3 6 4 2 5 4,7 2 7 6 1 3,24,26,35,Male,Yes,11.07,Pink to Blue,5,5,0.11150198809860125
144,0mkkxzz3w,115,74,0,1125.39999997616,Experiment,5 10 12 11 6 5,6 8 11 5 7 11,49,48,35,Male,Yes,11.07,Pink to Blue,5,5,0.11150198809860125
145,0mkkxzz3w,116,70,1,2082.09999990463,Experiment,7 3 4 3 2 8,2 7 3 5 4 4,27,25,35,Male,Yes,11.07,Pink to Blue,5,5,0.11150198809860125
146,0mkkxzz3w,117,70,0,1806.10000002384,Experiment,9 7 11 10 9 7,6 11 9 10 9 10,53,55,35,Male,Yes,11.07,Pink to Blue,4,4,0.11150198809860125
147,0mkkxzz3w,118,74,0,3077.39999997616,Experiment,6 12 6 11 9 10,8 9 8 6 10 12,54,53,35,Male,Yes,11.07,Pink to Blue,5,5,0.11150198809860125
